variable,coef,se,z,p_value,ci_lower,ci_upper,model,outcome,n_obs,r2,sig
const,0.30189273746789264,0.0254429739553157,11.865465805927117,1.789040034100602e-32,0.25202542485588325,0.351760050079902,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,***
delta_forecast_1_wind_z,0.013384182285227713,0.007545707691609939,1.77374778247898,0.07610487889034354,-0.001405133028194637,0.028173497598650062,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,.
delta_wind_kt_z,-0.004479958570150852,0.009176400615447892,-0.4882043360889371,0.6254051135349654,-0.022465373284139906,0.0135054561438382,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,
delta_fc_lag1_z,0.0037688580826146026,0.007703760591698812,0.48922315767129837,0.6246837162692451,-0.011330235222634046,0.01886795138786325,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,
delta_wind_lag1_z,-0.002431798509798369,0.00918764259833759,-0.26468144399069005,0.7912548733784349,-0.02043924710536605,0.015575650085769312,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,
new_hurricane_warning,0.02044858665905937,0.025140771919752957,0.8133635166147399,0.41600967024201607,-0.02882642084719234,0.06972359416531108,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,
warning_lag1,-0.007491546177466183,0.02039713981599373,-0.3672841508686399,0.713407075015597,-0.04746920560444184,0.03248611324950947,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,
new_hurricane_watch,0.0203692984275347,0.014615452837492045,1.393682334308705,0.1634135531456391,-0.008276462751693449,0.04901505960676285,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,
storm_category_z,0.01075447724249453,0.005034909132945018,2.1359823898557675,0.03268084923479414,0.0008862366764905046,0.020622717808498555,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,*
log_n_posts,-0.0021068787027324083,0.009195188210084632,-0.22912839352453196,0.8187691255842837,-0.020129116425565613,0.015915359020100793,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,
hour_sin,0.01716333811172695,0.006391477179711437,2.685347632345273,0.007245440222838355,0.004636273031482896,0.029690403191971006,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,**
hour_cos,0.0009276487261516198,0.0052156922460863805,0.1778572588993696,0.858835078040786,-0.009294920230622507,0.011150217682925746,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,
storm_Harvey,-0.0028738911721468653,0.03218368686929762,-0.08929651794768363,0.9288462612916518,-0.06595275832568485,0.06020497598139112,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,
storm_Ian,-0.0007847488546448428,0.017432052922526673,-0.04501758101197286,0.9640932955390249,-0.03495094475939332,0.03338144705010363,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,
storm_Ida,0.012621205865747248,0.01791351273791326,0.7045634237351421,0.4810819672950176,-0.022488633937162238,0.047731045668656734,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,
storm_Irma,-0.0031727500967756077,0.017153580777858498,-0.18496138723822203,0.8532593214823053,-0.03679315062727683,0.030447650433725614,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,
storm_Milton,0.037153217006102676,0.02486451187048534,1.494226679358394,0.13511638159727818,-0.011580330753217238,0.08588676476542259,Proximity: RPI_composite,mean_rpi_composite,399.0,0.11823634709933295,
